S,d3,d4,d5,d6,ip,waste,length,status,closure,notes
120,14,3,0,0,5,144,869,closed-lemma,lemma-B-passover,
120,14,3,0,0,6,145,870,closed-lemma,lemma-B-passover,
120,14,3,0,0,7,146,871,closed-lemma,lemma-B-passover,
120,15,3,0,0,4,144,869,closed-lemma,lemma-B-passover,
120,15,3,0,0,5,145,870,closed-lemma,lemma-B-passover,
120,15,3,0,0,6,146,871,closed-lemma,lemma-B-passover,
120,16,3,0,0,3,144,869,closed-lemma,lemma-B-passover,
120,16,3,0,0,4,145,870,closed-lemma,lemma-B-passover,
120,16,3,0,0,5,146,871,closed-lemma,lemma-B-passover,
120,17,3,0,0,2,144,869,closed-lemma,lemma-B-passover,
120,17,3,0,0,3,145,870,closed-lemma,lemma-B-passover,
120,17,3,0,0,4,146,871,closed-lemma,lemma-B-passover,
120,18,3,0,0,1,144,869,closed-lemma,lemma-B-passover,
120,18,3,0,0,2,145,870,closed-lemma,lemma-B-passover,
120,18,3,0,0,3,146,871,closed-lemma,lemma-B-passover,
120,19,3,0,0,0,144,869,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,19,3,0,0,1,145,870,closed-lemma,lemma-B-passover,
120,19,3,0,0,2,146,871,closed-lemma,lemma-B-passover,
120,20,3,0,0,0,145,870,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,20,3,0,0,1,146,871,closed-lemma,lemma-B-passover,
120,21,3,0,0,0,146,871,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,0,4,0,0,17,144,869,closed-lemma,lemma-B-passover,
120,0,4,0,0,18,145,870,closed-lemma,lemma-B-passover,
120,0,4,0,0,19,146,871,closed-lemma,lemma-B-passover,
120,1,4,0,0,16,144,869,closed-lemma,lemma-B-passover,
120,1,4,0,0,17,145,870,closed-lemma,lemma-B-passover,
120,1,4,0,0,18,146,871,closed-lemma,lemma-B-passover,
120,2,4,0,0,15,144,869,closed-lemma,lemma-B-passover,
120,2,4,0,0,16,145,870,closed-lemma,lemma-B-passover,
120,2,4,0,0,17,146,871,closed-lemma,lemma-B-passover,
120,3,4,0,0,14,144,869,closed-lemma,lemma-B-passover,
120,3,4,0,0,15,145,870,closed-lemma,lemma-B-passover,
120,3,4,0,0,16,146,871,closed-lemma,lemma-B-passover,
120,4,4,0,0,13,144,869,closed-lemma,lemma-B-passover,
120,4,4,0,0,14,145,870,closed-lemma,lemma-B-passover,
120,4,4,0,0,15,146,871,closed-lemma,lemma-B-passover,
120,5,4,0,0,12,144,869,closed-lemma,lemma-B-passover,
120,5,4,0,0,13,145,870,closed-lemma,lemma-B-passover,
120,5,4,0,0,14,146,871,closed-lemma,lemma-B-passover,
120,6,4,0,0,11,144,869,closed-lemma,lemma-B-passover,
120,6,4,0,0,12,145,870,closed-lemma,lemma-B-passover,
120,6,4,0,0,13,146,871,closed-lemma,lemma-B-passover,
120,7,4,0,0,10,144,869,closed-lemma,lemma-B-passover,
120,7,4,0,0,11,145,870,closed-lemma,lemma-B-passover,
120,7,4,0,0,12,146,871,closed-lemma,lemma-B-passover,
120,8,4,0,0,9,144,869,closed-lemma,lemma-B-passover,
120,8,4,0,0,10,145,870,closed-lemma,lemma-B-passover,
120,8,4,0,0,11,146,871,closed-lemma,lemma-B-passover,
120,9,4,0,0,8,144,869,closed-lemma,lemma-B-passover,
120,9,4,0,0,9,145,870,closed-lemma,lemma-B-passover,
120,9,4,0,0,10,146,871,closed-lemma,lemma-B-passover,
120,10,4,0,0,7,144,869,closed-lemma,lemma-B-passover,
120,10,4,0,0,8,145,870,closed-lemma,lemma-B-passover,
120,10,4,0,0,9,146,871,closed-lemma,lemma-B-passover,
120,11,4,0,0,6,144,869,closed-lemma,lemma-B-passover,
120,11,4,0,0,7,145,870,closed-lemma,lemma-B-passover,
120,11,4,0,0,8,146,871,closed-lemma,lemma-B-passover,
120,12,4,0,0,5,144,869,closed-lemma,lemma-B-passover,
120,12,4,0,0,6,145,870,closed-lemma,lemma-B-passover,
120,12,4,0,0,7,146,871,closed-lemma,lemma-B-passover,
120,13,4,0,0,4,144,869,closed-lemma,lemma-B-passover,
120,13,4,0,0,5,145,870,closed-lemma,lemma-B-passover,
120,13,4,0,0,6,146,871,closed-lemma,lemma-B-passover,
120,14,4,0,0,3,144,869,closed-lemma,lemma-B-passover,
120,14,4,0,0,4,145,870,closed-lemma,lemma-B-passover,
120,14,4,0,0,5,146,871,closed-lemma,lemma-B-passover,
120,15,4,0,0,2,144,869,closed-lemma,lemma-B-passover,
120,15,4,0,0,3,145,870,closed-lemma,lemma-B-passover,
120,15,4,0,0,4,146,871,closed-lemma,lemma-B-passover,
120,16,4,0,0,1,144,869,closed-lemma,lemma-B-passover,
120,16,4,0,0,2,145,870,closed-lemma,lemma-B-passover,
120,16,4,0,0,3,146,871,closed-lemma,lemma-B-passover,
120,17,4,0,0,0,144,869,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,17,4,0,0,1,145,870,closed-lemma,lemma-B-passover,
120,17,4,0,0,2,146,871,closed-lemma,lemma-B-passover,
120,18,4,0,0,0,145,870,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,18,4,0,0,1,146,871,closed-lemma,lemma-B-passover,
120,19,4,0,0,0,146,871,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,0,5,0,0,15,144,869,closed-lemma,lemma-B-passover,
120,0,5,0,0,16,145,870,closed-lemma,lemma-B-passover,
120,0,5,0,0,17,146,871,closed-lemma,lemma-B-passover,
120,1,5,0,0,14,144,869,closed-lemma,lemma-B-passover,
120,1,5,0,0,15,145,870,closed-lemma,lemma-B-passover,
120,1,5,0,0,16,146,871,closed-lemma,lemma-B-passover,
120,2,5,0,0,13,144,869,closed-lemma,lemma-B-passover,
120,2,5,0,0,14,145,870,closed-lemma,lemma-B-passover,
120,2,5,0,0,15,146,871,closed-lemma,lemma-B-passover,
120,3,5,0,0,12,144,869,closed-lemma,lemma-B-passover,
120,3,5,0,0,13,145,870,closed-lemma,lemma-B-passover,
120,3,5,0,0,14,146,871,closed-lemma,lemma-B-passover,
120,4,5,0,0,11,144,869,closed-lemma,lemma-B-passover,
120,4,5,0,0,12,145,870,closed-lemma,lemma-B-passover,
120,4,5,0,0,13,146,871,closed-lemma,lemma-B-passover,
120,5,5,0,0,10,144,869,closed-lemma,lemma-B-passover,
120,5,5,0,0,11,145,870,closed-lemma,lemma-B-passover,
120,5,5,0,0,12,146,871,closed-lemma,lemma-B-passover,
120,6,5,0,0,9,144,869,closed-lemma,lemma-B-passover,
120,6,5,0,0,10,145,870,closed-lemma,lemma-B-passover,
120,6,5,0,0,11,146,871,closed-lemma,lemma-B-passover,
120,7,5,0,0,8,144,869,closed-lemma,lemma-B-passover,
120,7,5,0,0,9,145,870,closed-lemma,lemma-B-passover,
120,7,5,0,0,10,146,871,closed-lemma,lemma-B-passover,
120,8,5,0,0,7,144,869,closed-lemma,lemma-B-passover,
120,8,5,0,0,8,145,870,closed-lemma,lemma-B-passover,
120,8,5,0,0,9,146,871,closed-lemma,lemma-B-passover,
120,9,5,0,0,6,144,869,closed-lemma,lemma-B-passover,
120,9,5,0,0,7,145,870,closed-lemma,lemma-B-passover,
120,9,5,0,0,8,146,871,closed-lemma,lemma-B-passover,
120,10,5,0,0,5,144,869,closed-lemma,lemma-B-passover,
120,10,5,0,0,6,145,870,closed-lemma,lemma-B-passover,
120,10,5,0,0,7,146,871,closed-lemma,lemma-B-passover,
120,11,5,0,0,4,144,869,closed-lemma,lemma-B-passover,
120,11,5,0,0,5,145,870,closed-lemma,lemma-B-passover,
120,11,5,0,0,6,146,871,closed-lemma,lemma-B-passover,
120,12,5,0,0,3,144,869,closed-lemma,lemma-B-passover,
120,12,5,0,0,4,145,870,closed-lemma,lemma-B-passover,
120,12,5,0,0,5,146,871,closed-lemma,lemma-B-passover,
120,13,5,0,0,2,144,869,closed-lemma,lemma-B-passover,
120,13,5,0,0,3,145,870,closed-lemma,lemma-B-passover,
120,13,5,0,0,4,146,871,closed-lemma,lemma-B-passover,
120,14,5,0,0,1,144,869,closed-lemma,lemma-B-passover,
120,14,5,0,0,2,145,870,closed-lemma,lemma-B-passover,
120,14,5,0,0,3,146,871,closed-lemma,lemma-B-passover,
120,15,5,0,0,0,144,869,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,15,5,0,0,1,145,870,closed-lemma,lemma-B-passover,
120,15,5,0,0,2,146,871,closed-lemma,lemma-B-passover,
120,16,5,0,0,0,145,870,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,16,5,0,0,1,146,871,closed-lemma,lemma-B-passover,
120,17,5,0,0,0,146,871,open,,s11-grammar-subregion-closed;perfect-ride-family(ATSP-closable)
120,0,6,0,0,13,144,869,closed-lemma,lemma-B-passover,
120,0,6,0,0,14,145,870,closed-lemma,lemma-B-passover,
120,0,6,0,0,15,146,871,closed-lemma,lemma-B-passover,
120,1,6,0,0,12,144,869,closed-lemma,lemma-B-passover,
120,1,6,0,0,13,145,870,closed-lemma,lemma-B-passover,
120,1,6,0,0,14,146,871,closed-lemma,lemma-B-passover,
120,2,6,0,0,11,144,869,closed-lemma,lemma-B-passover,
120,2,6,0,0,12,145,870,closed-lemma,lemma-B-passover,
120,2,6,0,0,13,146,871,closed-lemma,lemma-B-passover,
120,3,6,0,0,10,144,869,closed-lemma,lemma-B-passover,
120,3,6,0,0,11,145,870,closed-lemma,lemma-B-passover,
120,3,6,0,0,12,146,871,closed-lemma,lemma-B-passover,
120,4,6,0,0,9,144,869,closed-lemma,lemma-B-passover,
