index,pattern,K,Sigma,verdict,zero_candidate_columns,cadical_pass1,dlx_sweep,V,chain_frame,cover_language_scope,verdict_scope,corpus_in_frame,corpus_total,corpus_frame_fraction
99,6664664666446664664666466646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
100,6664664666446664666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
101,6664664666466466644666466646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
102,6664664666466466646646664664666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
103,6664664666466466646664466646666,31,16,UNSAT,0,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
104,6664664666466644666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
105,6664664666466646646664466646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
106,6664664666466646646664666466466,31,16,UNSAT,0,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
107,6664666446664664666466466646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
108,6664666446664664666466646646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
109,6664666446664666466466646646666,31,16,UNSAT,0,UNSAT,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
110,6664666466466644666466646646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
111,6664666466466646646664466646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
112,6664666466466646646664664666466,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
113,6664666466466646663666366646666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
114,6664666466466646664466646646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
115,6664666466466646664664666446666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
116,6664666466466646664664666466646,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
117,6664666466626664664666466646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
118,6664666466636663664666466646666,31,16,STRUCTURAL,1,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
119,6664666466636663666466646646666,31,16,STRUCTURAL,2,TIMEOUT-KILLED,,15,pivot-homogeneous;reversal-door,COMPLETE,CHAIN-COMPLETE: no cover of THIS chain exists in the full cover language; census-level claims scoped to the pivot-homogeneous/reversal-door chain family,188,221,0.8507
120,6664666466644666466466646646666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
121,6664666466644666466466646664666,31,16,OPEN,0,TIMEOUT-KILLED,TIMEOUT,15,pivot-homogeneous;reversal-door,COMPLETE,no claim (OPEN),188,221,0.8507
