file	orient	S	D	fFWDEND	fFWDSTART	fREVEND	fREVSTART	sFWDEND	sFWDSTART	sREVEND	sREVSTART
5906.lswap-49fc63d034f2.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-4a581202d46c.txt	F	844	17	1	1	2	2	0	0	0	0
5906.lswap-4a581202d46c.txt	R	844	17	1	1	2	2	0	0	0	0
5906.lswap-4c179f65aa4b.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-4c179f65aa4b.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-5228890279ca.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-5228890279ca.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-52e683fb05d3.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-52e683fb05d3.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-52f45c5e8e22.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-52f45c5e8e22.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-5764c730eaee.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-5764c730eaee.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-5808edca979d.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-5808edca979d.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-5a55d1641a86.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-5a55d1641a86.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-5a7a973564fd.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-5a7a973564fd.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-5dbb54e50268.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-5dbb54e50268.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-6008b60b1c2c.txt	F	844	17	1	1	2	2	0	0	0	0
5906.lswap-6008b60b1c2c.txt	R	844	17	1	1	2	2	0	0	0	0
5906.lswap-62d959eb4e73.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-62d959eb4e73.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-637b5054102a.txt	F	840	21	1	1	1	1	0	0	0	0
5906.lswap-637b5054102a.txt	R	840	21	1	1	1	1	0	0	0	0
5906.lswap-67fc5c2184ab.txt	F	838	23	1	1	2	2	0	0	0	0
5906.lswap-67fc5c2184ab.txt	R	838	23	1	1	2	2	0	0	0	0
5906.lswap-68a263f18066.txt	F	844	17	1	1	2	2	0	0	0	0
5906.lswap-68a263f18066.txt	R	844	17	1	1	2	2	0	0	0	0
5906.lswap-6bd82af50a4e.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-6bd82af50a4e.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-6d0ad177e5ee.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-6d0ad177e5ee.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-6d7ea156bdcc.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-6d7ea156bdcc.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-6dc582bac458.txt	F	839	22	1	1	1	1	0	0	0	0
5906.lswap-6dc582bac458.txt	R	839	22	1	1	1	1	0	0	0	0
5906.lswap-6f6f375dca74.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-6f6f375dca74.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-7217a0cd3774.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-7217a0cd3774.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-73851215f718.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-73851215f718.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-7602ba885180.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-7602ba885180.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-760f8ed53670.txt	F	839	22	1	1	2	2	0	0	0	0
5906.lswap-760f8ed53670.txt	R	839	22	1	1	2	2	0	0	0	0
5906.lswap-7bd46049981f.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-7bd46049981f.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-7f47c6e6eeda.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-7f47c6e6eeda.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-80e6c24a2613.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-80e6c24a2613.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-821102adfff8.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-821102adfff8.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-8ed814577309.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-8ed814577309.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-8f58c699a11d.txt	F	838	23	1	1	2	2	0	0	0	0
5906.lswap-8f58c699a11d.txt	R	838	23	1	1	2	2	0	0	0	0
5906.lswap-945cf8ae5bef.txt	F	838	23	1	1	2	2	0	0	0	0
5906.lswap-945cf8ae5bef.txt	R	838	23	1	1	2	2	0	0	0	0
5906.lswap-964ebce5847f.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-964ebce5847f.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-9759fb4af500.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-9759fb4af500.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-9a5cc6a6e3c8.txt	F	844	17	1	1	1	1	0	0	0	0
5906.lswap-9a5cc6a6e3c8.txt	R	844	17	1	1	1	1	0	0	0	0
5906.lswap-9bd2a50baa0e.txt	F	844	17	1	1	2	2	0	0	1	1
5906.lswap-9bd2a50baa0e.txt	R	844	17	1	1	2	2	0	0	1	1
5906.lswap-9bf7e32c6472.txt	F	838	23	1	1	2	2	0	0	0	0
5906.lswap-9bf7e32c6472.txt	R	838	23	1	1	2	2	0	0	0	0
5906.lswap-9edd04d13626.txt	F	844	17	1	1	2	2	0	0	0	0
5906.lswap-9edd04d13626.txt	R	844	17	1	1	2	2	0	0	0	0
