lift873_source	lift873_target	source_872	landing_872	verdict
873.w4lift-41912793f16c.txt	873.w4lift-9bf5bc00b51f.txt	872.up-e327f72c7edb.txt	872.up-b6e9ebea6ccb.txt	BRIDGE
873.w4lift-41912793f16c.txt	873.w4lift-c20589c44ca5.txt	872.up-e327f72c7edb.txt	872.up-f9c27c438cf5.txt	BRIDGE
873.w4lift-41912793f16c.txt	873.w4lift-efaf6590c06f.txt	872.up-e327f72c7edb.txt	872.up-fd79f9347cc6.txt	BRIDGE
873.w4lift-420a41aa094b.txt	873.w4lift-d2e2e52f22ce.txt	872.up-af16aacf0012.txt	872.up-c76bed7997ac.txt	BRIDGE
873.w4lift-4527ec9a1399.txt	873.w4lift-2a69c6b6d2c4.txt	872.up-55ffbe15f3e5.txt	872.up-8171b11aa5f2.txt	BRIDGE
873.w4lift-4527ec9a1399.txt	873.w4lift-6eabeb5cc6f7.txt	872.up-55ffbe15f3e5.txt	872.up-6c48ed694daa.txt	BRIDGE
873.w4lift-4527ec9a1399.txt	873.w4lift-e3b303babf93.txt	872.up-55ffbe15f3e5.txt	872.up-a6de04af6295.txt	BRIDGE
873.w4lift-4527ec9a1399.txt	873.w4lift-efaf6590c06f.txt	872.up-55ffbe15f3e5.txt	872.up-fd79f9347cc6.txt	BRIDGE
873.w4lift-469f6057ea58.txt	873.w4lift-3da0adb7c085.txt	872.up-59b86f24eed5.txt	872.up-878b93d55cf3.txt	BRIDGE
873.w4lift-471ea5e2808d.txt	873.w4lift-cb628565642a.txt	872.up-4c777dfe1f22.txt	872.up-441620668166.txt	BRIDGE
873.w4lift-485bcea15518.txt	873.w4lift-fe92043c8e0d.txt	872.up-918730b9e3a3.txt	872.up-967b93e8d35d.txt	BRIDGE
873.w4lift-4bdc84b4eabf.txt	873.w4lift-ec4706478f57.txt	872.up-27a966451c87.txt	872.up-dd2f20730b11.txt	BRIDGE
873.w4lift-4d9a43ee2678.txt	873.w4lift-09562fda7acf.txt	872.up-957a68729445.txt	872.up-238fdb108a17.txt	BRIDGE
873.w4lift-4d9a43ee2678.txt	873.w4lift-0e76e182d4b1.txt	872.up-957a68729445.txt	872.up-8744a153bd86.txt	BRIDGE
873.w4lift-4d9a43ee2678.txt	873.w4lift-97c55efd9af4.txt	872.up-957a68729445.txt	872.up-fb08668baa5d.txt	BRIDGE
873.w4lift-4d9a43ee2678.txt	873.w4lift-9df2ff1c4dd0.txt	872.up-957a68729445.txt	872.up-a9e8dd3c28fa.txt	BRIDGE
873.w4lift-4d9a43ee2678.txt	873.w4lift-b26b46f94ee4.txt	872.up-957a68729445.txt	872.up-5b98b9cb1c0d.txt	BRIDGE
873.w4lift-4d9a43ee2678.txt	873.w4lift-b3535203faac.txt	872.up-957a68729445.txt	872.up-64bed4551eed.txt	BRIDGE
873.w4lift-51335bdfb643.txt	873.w4lift-67f4c1b274e4.txt	872.up-e9a840c63948.txt	872.up-b771392d14db.txt	BRIDGE
873.w4lift-51486b0f9dfa.txt	873.w4lift-a278dbd60fc8.txt	872.up-049d89a139b4.txt	872.up-b6285d5e8864.txt	BRIDGE
