class	S	D	F_REVEND	F_REVSTART	R_REVEND	R_REVSTART	F_FWDEND	F_FWDSTART	R_FWDEND	R_FWDSTART	profile	asym_orient	asym_endstart
872.up-011ff0fbb5c5.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0121c00f7b28.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01228212d417.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01250a2ab886.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0126333b5a74.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01288ad4ab45.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-012a1f58f981.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-012fab5b0530.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0130ae3751bd.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-013345d95114.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01353b197265.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0135fca75b96.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01371212faf5.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0138a446b968.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01407deb0518.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01456cb9a4e9.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-014b770bfd2c.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-014e390fa665.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0150d7a37c09.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0155e6942479.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-015b26eb99f2.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0165e0a5fcc3.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0167ca9b3b1e.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-016ba53b6ef1.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-016e764dbbc1.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-017194273510.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01743ae36831.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01787cffbae4.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0179d60888e3.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-017adf053f57.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-017e244dfe58.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-017fee9af686.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0182c486f64e.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0182d4284663.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0183ae049e3a.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0188b8b88f00.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-018d055c2887.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-018f3beeb5fe.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0197c1666210.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01983116547c.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-019af1f74088.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01a5ef7340df.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01abaf2bccdd.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01bca4423acf.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01be3e28d913.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01bf6d94f9f2.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01bfaebee1fd.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01c50134efa4.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01c521a555c7.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01c703ea03da.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01c78a36b92b.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01ca91fb93c3.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01caa51d8f1a.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01cf30ec5675.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01cf626626d8.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01d0c82cdbd0.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01d29208b806.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01d40d396cb3.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01d4a70e4ce2.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01d7d8b46cd2.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01d9bd9cfdc3.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01e15ee21ab2.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01e6a26d30bb.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01e85b1e514d.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01e927638c98.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01ebed1e1ee8.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01ec1f45f408.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01ec65df33bd.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01eca90a0cdc.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01ef86bd1805.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01efee735dc6.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01f0d5979e7e.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01f2bb6ae931.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01f53b7988e0.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01f653d2c4a4.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01f809ab2c24.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01f833cbe181.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01fb8703fe46.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-01fea7761cc4.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02004a08ced9.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02010e26d83c.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0201cd88d9fe.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02093a89d311.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-020c783125d1.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-020d6ea38b77.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-020fd2c89513.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0210a05ec78b.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-021541140f97.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-021561d9cd96.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-021710c54d65.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0218cb8951ae.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-021b233eca71.txt	143	5	1	2	2	1	1	1	1	1	(1, 2, 2, 1)	0	1
872.up-021e4e2eaa27.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-022441b7b1ff.txt	140	7	2	1	2	1	1	1	1	1	(2, 1, 2, 1)	0	1
872.up-022fe3425475.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02313aa63649.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0232664a75b9.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0236e15adea7.txt	143	5	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0236f491be53.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-023c1e7c7d9c.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-023fba5db97d.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-024066a102da.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02424dce2136.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0245358146bb.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02474065ef30.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0248c2d132c5.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-024c3c65ed92.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-025635634e53.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-025679aa4d97.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02577074ca65.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0261ab06956f.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-026751821488.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02692305aa05.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-026d1c7d4973.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02744990099c.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02769dc72f38.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02785e47d104.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-027b05bb9580.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-027be74bd2d4.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-027c6d160f4b.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0283eb55f274.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-028ab9a541b6.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-028b02dd713c.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-028d14152ef2.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0290e25f6c35.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0292bc14edf9.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-029466126cdf.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0294d9f22d56.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-0297adb91dfa.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02988052b484.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-029893e9f598.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-029df70b6e55.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02a2f4b5bffd.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02b208eaeee6.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02bf8407e46d.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02bfab16ae2c.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02c605e6453a.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02c67c529bd9.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02cc1fd09819.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02d07564029d.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
872.up-02d1045f36d4.txt	145	3	2	2	2	2	1	1	1	1	(2, 2, 2, 2)	0	0
